,distance_af_in_pr,distance_af_in_vl,distance_af_ex_pr,distance_af_ex_vl,distance_af_in_pr2,distance_af_in_vl2,distance_af_ex_pr2,distance_af_ex_vl2
Gabon,0.0315574879453069,0.007734761084113608,-0.07798406685739717,-0.07557993290053264,0.031652919478852515,0.012392999819359934,-0.08099044836606557,-0.07453841040829827
"Gambia, The",-0.07314310481388987,0.018766929795803196,0.03132213568280894,0.021148315026881553,-0.06376249249890174,0.021765109752969566,0.031067104359646307,0.019624569023097647
Georgia,-0.002977893687696017,0.02929670390163951,-0.17524143004814746,-0.11662402118334184,0.005934941464353002,0.019778343358444996,-0.16652345044958416,-0.1326901814647929
Germany,-0.010176112615006309,0.0006272979498388612,0.007546621791452008,-0.005525519319047999,-0.010321343832043176,0.0019673233122495747,0.0036010403266440033,-0.0025751840496357472
Ghana,-0.022004258640394438,-0.005006144806290941,0.016315863842412213,0.036009566909956235,-0.019612786158270702,-0.010166312986466999,0.016705851998083016,0.0341249095255832
Greece,-0.003749096108410796,-0.005462857357439976,-0.02312369382298065,-0.021089700018079745,-0.008784422071904151,-0.0005708202085994445,-0.027468161976866336,-0.01858817168504009
Greenland,0.009159264134902305,-0.008872038654684078,-0.010927432258315791,0.16988208132589494,0.019715494000503927,-0.011110278270390107,-0.017274759482343603,0.17443336460619793
Grenada,-0.010465173061295324,-0.008712358137045954,-0.03068898394354867,-0.10559640757278912,-0.006608452043588946,-0.01139048846745037,-0.003163383514153288,-0.1228474418277414
Guadeloupe,-0.0033922155876238073,-0.00869862128846771,0.04367253968687943,0.036180977264364665,-0.0033873110376755173,-0.00682570074043681,0.061113106841307344,0.02811129740258803
Guatemala,0.013034406230358625,0.012593339592173078,-0.008116884003598548,0.00726598795474894,0.019448691912865572,0.009309943293509126,-0.009788352971568843,0.009319129745246846
Guinea,-0.09328260011988672,-0.03885412736756904,0.13405970437556594,0.10252453006701305,-0.09679105536059188,-0.043629264490987016,0.11089416445346648,0.11817248745877397
Guyana,0.010907141776681834,0.030183521437247462,0.01733127062550932,0.004735635990954146,0.010627105849526369,0.03345696019011981,0.020533240548754033,0.00027916876330279363
Honduras,-0.02215392052489716,-0.010277124160801588,0.006785089966500427,0.021990814736926906,-0.022990229537653558,-0.007076455128418078,0.007610344951396171,0.018150901534956555
Hungary,0.046642784230552986,0.03711967892168394,0.008164389022988505,0.0007867402979218307,0.047803664811287574,0.036901643588369254,0.006618344063503122,0.0030777936088573635
Iceland,-0.010797108518836569,-0.024223858303038276,0.005769487894697843,-0.023834563434721828,-0.010877674536059383,-0.022788937014633505,-0.0064152190653315325,-0.0131065568402928
India,0.01455208475127354,0.01441146870164376,-0.008035556663292188,0.0002343864392272512,0.014182049164057029,0.015160263460654399,-0.00949451370956911,0.0014021710525991158
Indonesia,0.014215569394177332,0.028897788056684023,0.012009744362213632,0.006700542607181742,0.012741686329309741,0.02947686793757467,0.011451295137853392,0.006776070534606571
Iran,-0.019267171595442587,0.012556695859948723,-0.015926216361491,-0.00788593573423083,-0.0034901590073069793,-0.006849554931925522,-0.01562478893515117,-0.007394607506323936
Ireland,0.011984211470145379,-0.0007372448840072303,-0.003548527335500943,-0.023426669905415965,0.013713791037020242,-0.0004170703685275585,-0.008695550582438762,-0.019343350771799116
Israel,0.011617698991647782,0.028171127103190117,-0.017295738971835714,0.011755302108420868,0.01265793801433484,0.034483172039054606,-0.016956288888740276,0.008524868607511117
Italy,0.00468591733215221,0.002823383437938798,0.0032231575040310664,0.0036562399474460894,0.0034876790667709165,0.006177260569158084,0.0005306690816130655,0.006318845377027433
Jamaica,-0.013268128149553115,0.009319201818950256,0.008222547392830036,-0.018723153000131228,0.0027002102398880393,-0.0036031817051870797,0.002115698255060588,-0.014762838942046665
Japan,-0.002086534678212225,-0.003830278241178393,0.0012486730348502454,-0.012527357663850743,0.0005908922456917542,-0.004164713297585519,0.00013804178592676411,-0.010811973525317395
Jordan,0.004758628489239263,0.01305135807118312,-0.01637573333422573,-0.023566392662321644,0.007949224930254718,0.011055254777423031,-0.02087285828504103,-0.01853919898643282
Kazakhstan,0.013554555238671625,0.010080426092123996,-0.02078701270795786,-0.012821939971808345,0.015540206038732737,0.008204425032945618,-0.026093766449985383,-0.010741386765039232
Kenya,-0.047791241047149775,-0.03804015674300937,-0.0606366294100272,-0.06539121592275755,-0.04782305750385016,-0.04154591195141083,-0.06485854746723937,-0.0615563755734488
Kiribati,0.0950737035850838,0.13680708305470493,0.18444613738801158,0.047388708596182424,0.11760731042250765,0.11596332703116148,0.11591742299209701,0.11591742299209701
Kuwait,-0.025602085656873337,-0.03104522172915406,0.036420408724668354,0.026829288647126803,-0.02897627078416139,-0.026810576282270113,0.03874269320960286,0.02450250387072643
Kyrgyzstan,-0.08238408094691939,-0.028093261901248286,-0.006533610847949053,-0.03735501867742451,-0.08034740815427696,-0.030479067964163737,-0.007740932429753642,-0.038567529117889236
Latvia,0.017395056595647315,0.007406136706485226,-0.05694226537220324,-0.05492549501643388,0.019737852203180282,0.008017937748764763,-0.053721576476456874,-0.05828130640999811
