,caloric_af_in_pr,caloric_af_in_vl,caloric_af_ex_pr,caloric_af_ex_vl,caloric_af_in_pr2,caloric_af_in_vl2,caloric_af_ex_pr2,caloric_af_ex_vl2
Indonesia,0.012852378436867668,0.026085261185761016,0.010523686511524919,0.005458938950728861,0.011608083296141112,0.02633970546216539,0.010036804204765444,0.005563126168883544
Iran,-0.01834724104751359,0.007202022599359679,-0.01257345322979333,-0.006354626195705592,-0.005476240882618085,-0.00876367679803455,-0.01249720379645045,-0.005908558879560843
Ireland,0.010174328843274141,-0.00021529175657249917,-0.002608854542168225,-0.0202779185738716,0.01207952128563453,-0.00027844467254239307,-0.0073762846997246,-0.01614397214180478
Israel,0.010820819154592109,0.023716341931807827,-0.015112095315609607,0.009664396028165115,0.011655939789427193,0.02845452890823886,-0.015096932392034646,0.006775954908018066
Italy,0.0037151710896691365,0.0021201352932710567,0.0031947805512383787,0.0034844247992690414,0.002656354637755762,0.005002775856275652,0.0009180885169578077,0.005740218599975558
Jamaica,-0.011447745543036077,0.007057500138454804,0.00728651279724997,-0.018503820270696927,0.0004424198847625682,-0.0028480730210777676,0.0013733793973237306,-0.0148155881338553
Japan,-0.001778167248267718,-0.0037734584650098253,-0.000787512281089259,-0.012412613476732233,0.0004528545478471931,-0.004037728098303752,-0.0013493951489668193,-0.010970713591816889
Jordan,0.004768107873316764,0.012932502005261241,-0.017462738705917465,-0.02257507332471168,0.007497866620681723,0.011136822041160127,-0.021924695054719046,-0.017905497973316864
Kazakhstan,0.009426864051794551,0.005460689955472646,-0.0183469592405669,-0.012475722836984752,0.0103573575234351,0.004757295625477614,-0.023440227210562537,-0.010400450230371658
Kenya,-0.04492755395703616,-0.036512738875584705,-0.05158709650882651,-0.056322490496956465,-0.045041050590491294,-0.0393862266266012,-0.05576408492437591,-0.05266440725197197
Kiribati,0.0790352162442174,0.12013262654891876,0.13206451016455592,0.026704273303005212,0.100959013462816,0.09965247497488006,0.07938439173378056,0.07938439173378056
Kuwait,-0.019776411841853542,-0.025204429162779915,0.035063693715481785,0.024750532871135288,-0.022907592305957406,-0.021372392482592244,0.03632249565422273,0.02325314724991077
Kyrgyzstan,-0.07305887217656501,-0.026204201779087395,-0.00647511409025537,-0.0319973808486882,-0.07297970948806402,-0.027425745847680316,-0.007566637617682731,-0.03248861643118325
Latvia,0.014304952569967368,0.006594516257029617,-0.05168652565672013,-0.04884563211247927,0.016571095181148212,0.006902621273491134,-0.049300223224419834,-0.05116856146522209
Lebanon,-0.01063418057467926,0.00047370855346046733,-0.005822183255814687,-0.005261932799063525,-0.006152133381190228,-0.0028192485650273304,-0.002121311982333999,-0.008000274890673224
Libya,-0.009938422505115212,-0.0014882234163511407,0.027634974541262715,0.03838766907994197,-0.016976101237871622,-7.775444962406091e-05,0.03792638080872075,0.0319767342630961
Lithuania,0.006266600079708748,0.013252694560686928,0.04949265404049617,0.05889902632344926,0.00256613989182298,0.01654009943071031,0.050093063913435064,0.05776857895578588
Luxembourg,-0.0018373234057702061,-0.0057862495395817224,-0.0011072165762404788,-0.008333390488689129,0.0013387447304329164,-0.010062969879158288,-0.0004914716306669336,-0.0076391062815968705
Macedonia,0.009283766680757257,-0.006295620053238143,0.022142347369066458,0.020899783342948654,0.005685197781727263,-0.004184329421951956,0.028989781562094256,0.013957040145846582
Madagascar,0.005261000904157929,-0.0006305660088218064,0.01319216467869048,0.022713201443726752,0.010506733877825167,-0.0053817817376473525,0.014138387888669708,0.022160418654735663
Malawi,-0.004219272567597402,-0.0011816511962991993,-0.0010472098620109976,-0.005648388712686027,-0.007270151760386443,0.004152763283721305,0.001070442758019453,-0.008556314690602246
Malaysia,-0.0008841889412427476,0.0010510788788519719,-0.005941589609175379,0.005118418384318609,0.00020346017675914254,-5.0041786055040575e-05,-0.004113244646514008,0.0026837534706958695
Maldives,-0.03199019205479707,-0.01345813406467357,0.046670221091921316,-0.007098655155701555,-0.03182096637611202,-0.014480781839933165,0.020711567210544082,0.019266157594450876
Mali,0.03917837737928727,0.03584655823129227,0.013498313868760175,0.01502043290238974,0.03518275407824605,0.042639445170816186,0.0171427460329633,0.013045464757014265
Malta,-0.011858332993225905,0.008758743621778958,-0.045819382318602934,-0.0762871719113991,-0.008063192091869873,0.004936288144426736,-0.050853545176072996,-0.07158784077676063
Martinique,0.009631523046751897,0.01123624117372996,0.011878814786216545,0.03409460832672829,0.015075590969089126,0.008781326306531622,0.03194779435849188,0.018129708957567322
Mauritania,-0.027627346121471694,-0.034476164622892075,0.034962639422473706,0.03788295486901142,-0.02859740421667811,-0.02792066036063953,0.022749798463641672,0.055643998451710426
Mauritius,0.002676869555533573,-0.009000945279479295,0.06390950374080297,0.09512330262522212,0.002927117243828775,-0.008039335837185866,0.06323879572441828,0.09504392144525031
Mexico,0.0004742798058741335,-0.01028048192796285,0.017487975288152626,0.017395208056347755,0.0006487665981507673,-0.009470455899868356,0.016692458674055353,0.017830622948771756
Moldova,0.0031273001669213916,-0.03067328657460937,-0.02083999032539023,-0.021852948366447952,-0.006279283614283794,-0.019154289640486256,-0.026376110622332093,-0.017919987368373774
Mongolia,-0.036004712237269365,-0.04234810471109135,-0.11890908751592413,-0.11705139937210385,-0.0351657716008002,-0.037292291224492735,-0.1425884496374593,-0.10816483043539496
Montenegro,-0.0024183038797634918,-0.006076086650528085,-0.009362828655650926,0.006659781165008769,-0.005396556498999367,-0.003146210183855419,-0.006839816430572663,0.007725724377469839
Montserrat,0.08205857562929664,0.055136877421077014,-0.1016639488654114,-0.10455067464317126,0.08414412673387524,0.049362340876446996,-0.11250429365728805,-0.08946338729953028
Morocco,-0.017266335039374674,-0.04052625347343629,0.006148594957928715,0.0001740906885201451,-0.016037659292983994,-0.0387234659417948,0.005427069831547987,0.0032554400871556725
Namibia,0.00782074402030615,0.018475601391945238,0.0421427046716507,0.021692662856937297,0.01029892374507023,0.019717269342844818,0.03359296942812392,0.030819459925247424
Nepal,-0.03244154052524485,-0.017625052793574937,-0.027602819836228625,0.0006567483168747727,-0.02734850413825906,-0.019903008925248374,-0.03244033006455731,0.004234762510796081
Netherlands,0.005091852049955758,-0.006128106836010157,-0.00035101374559838686,-0.004411838415299963,0.002278819296268424,-0.0026413564288326795,-0.0033482690201561034,-0.002755514861871474
Netherlands Antilles,,,-0.04639590403837683,-0.0005010825669671335,,,-0.03196074961613516,-0.018459871078066663
New Caledonia,0.0022980966940632603,-0.029527755264390654,0.1757598771455013,0.22349633551033019,-0.00789164383010506,-0.020710231568876858,0.18484061327281037,0.22041603935060133
New Zealand,-0.00020543992565079272,0.004593841303701769,-0.01129950715840316,0.003951012918362169,-0.0020315082348282285,0.00630402227243709,-0.011306421229698342,0.0028793706477918523
Nicaragua,-0.011807277534153438,-0.013996512889191624,0.02896319805950529,0.0010170584305045653,-0.009205281958724658,-0.014047391153796478,0.026059292147702338,0.0033856856153106365
Niger,0.006626083920768494,-0.01699269974241566,0.039862673706502975,0.043069489998748614,0.002638183434479165,-0.01341567853310016,0.04715570752569827,0.03282565638797778
Nigeria,,,0.003663365482514141,0.013459391588353424,,,0.007446555652781497,0.010237216904882026
Norway,-0.007125012335633437,-0.009177758519181964,0.004261482053495245,-0.006427876076931599,-0.007091344765558102,-0.008630773840024827,0.0013417119051161732,-0.005990585460909999
Oman,0.004547028971918988,0.007209833140134074,0.03348254781766185,0.05681474805953182,0.006341018292953551,0.006658063742690965,0.04048144683305332,0.05010717139131025
Pakistan,-0.02472265563329066,-0.05154977658185073,0.02731076250733304,0.035549417205107785,-0.02956967073065347,-0.04580933236470168,0.026010743246037395,0.03589295590562095
Panama,-0.009400695339998648,-0.006944666728311611,-0.014627164465014088,-0.0005344149768048472,-0.011509026915162868,-0.004943286494927862,-0.013562908575581477,-0.0022151675923478796
Papua New Guinea,0.015055783408823043,0.0335802020543697,-0.08443041606232207,-0.024493998055949318,0.025508066495985623,0.022674943907197615,-0.09567645698898848,-0.01371158000782428
Paraguay,0.008867663227962877,0.0058483198430596866,-0.011810537108098342,-0.013762439956425022,0.008860654332852424,0.006211980083346673,-0.01066695535315719,-0.015313687354292995
Peru,-0.016891392397562776,-0.015166690439070292,0.015180180481145162,0.014383739217930952,-0.01705590878384777,-0.015022717229559295,0.014790239804667498,0.011984579334311388
Philippines,-0.018056737576538504,-0.015021411694181136,-0.002897675486476831,-0.026714920522478217,-0.0193938904145868,-0.014101351291125613,-0.001635769272052175,-0.02508519440188675
Poland,0.01570985772722002,-0.05062772179349581,0.011429917640523488,0.0025367267243299276,0.010959613794587323,-0.04212839041138517,0.009976169553845695,0.003882981803117397
Portugal,0.0005821397312984471,-0.005588363610756894,0.002796476738916925,0.006393908965455743,-0.0012631735621434082,-0.0024973811828845993,0.00019472253462289176,0.007281601426178876
